Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1 uF","C_0402_1005Metric",110.800000,-90.970000,90.000000,top
"C2","0.1 uF","C_0402_1005Metric",111.050000,-88.870000,90.000000,top
"C3","0.1 uF","C_0402_1005Metric",110.100000,-88.520000,90.000000,top
"C4","1 uF","C_0402_1005Metric",103.700000,-92.270000,90.000000,top
"C5","0.1 uF","C_0402_1005Metric",107.425000,-87.620000,90.000000,top
"C6","0.1 uF","C_0402_1005Metric",101.400000,-96.900000,90.000000,top
"C7","0.1 uF","C_0402_1005Metric",110.800000,-83.500000,0.000000,top
"C8","0.1 uF","C_0402_1005Metric",108.400000,-87.620000,90.000000,top
"C9","0.1 uF","C_0402_1005Metric",112.700000,-92.900000,90.000000,top
"C10","0.1 uF","C_0402_1005Metric",114.120000,-97.450000,0.000000,top
"C11","0.1 uF","C_0402_1005Metric",112.700000,-90.970000,90.000000,top
"C12","0.1 uF","C_0402_1005Metric",111.750000,-90.970000,90.000000,top
"C13","10 uF","C_0603_1608Metric",105.625000,-75.200000,180.000000,top
"C14","10 uF","C_0603_1608Metric",105.825000,-81.600000,180.000000,top
"C15","33 pF","C_0402_1005Metric",105.350000,-106.980000,-90.000000,top
"C16","33 pF","C_0402_1005Metric",110.650000,-106.980000,90.000000,top
"C17","0.1 uF","C_0402_1005Metric",108.200000,-79.720000,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",108.000000,-69.000000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",99.110000,-67.870000,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",116.890000,-67.870000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",105.460000,-116.390000,90.000000,top
"R1","5.1 KΩ","R_0402_1005Metric",112.100000,-87.340000,-90.000000,top
"R2","5.1 KΩ","R_0402_1005Metric",105.140000,-87.220000,0.000000,top
"R3","1 KΩ","R_0402_1005Metric",107.900000,-102.090000,90.000000,top
"R4","27 Ω","R_0402_1005Metric",109.650000,-90.640000,90.000000,top
"R5","27 Ω","R_0402_1005Metric",108.650000,-90.640000,90.000000,top
"R6","1 KΩ","R_0402_1005Metric",104.750000,-91.100000,-90.000000,top
"R7","10 KΩ","R_0402_1005Metric",105.095000,-83.520000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",111.000000,-80.000000,90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",108.000000,-96.250000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",105.950000,-78.562500,90.000000,top
"U3","W25Q16JVZPIQ TR","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",106.350000,-85.350000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",108.000000,-107.000000,180.000000,top
